participant_id,n_vars_available,tier,n_candidates,matched_geoid,distance,quality_score,tied_geoids,true_tract_geoid,scenario,correct,true_in_ties
A10000_00001,5,EXACT,1,42003421100,0.0,100,42003421100,42003421100,clean,True,True
A10000_00002,5,EXACT,1,08001008541,0.0,100,08001008541,08001008541,clean,True,True
A10000_00003,5,EXACT,1,42029300201,0.0,100,42029300201,42029300201,clean,True,True
A10000_00004,5,EXACT,1,06067002300,0.0,100,06067002300,06067002300,clean,True,True
A10000_00005,5,EXACT,1,55089630100,0.0,100,55089630100,55089630100,clean,True,True
A10000_00006,5,EXACT,1,37109070600,0.0,100,37109070600,37109070600,clean,True,True
A10000_00007,5,EXACT,1,36005013500,0.0,100,36005013500,36005013500,clean,True,True
A10000_00008,5,EXACT,1,35001000115,0.0,100,35001000115,35001000115,clean,True,True
A10000_00009,5,EXACT,1,17091011000,0.0,100,17091011000,17091011000,clean,True,True
A10000_00010,5,EXACT,1,36047045400,0.0,100,36047045400,36047045400,clean,True,True
A10000_00011,5,EXACT,1,24033803610,0.0,100,24033803610,24033803610,clean,True,True
A10000_00012,5,EXACT,1,42111021100,0.0,100,42111021100,42111021100,clean,True,True
A10000_00013,5,EXACT,1,37067003703,0.0,100,37067003703,37067003703,clean,True,True
A10000_00014,5,EXACT,1,24013513001,0.0,100,24013513001,24013513001,clean,True,True
A10000_00015,5,EXACT,1,39123050500,0.0,100,39123050500,39123050500,clean,True,True
A10000_00016,5,EXACT,1,40143007414,0.0,100,40143007414,40143007414,clean,True,True
A10000_00017,5,EXACT,1,55133201403,0.0,100,55133201403,55133201403,clean,True,True
A10000_00018,5,EXACT,1,05045031001,0.0,100,05045031001,05045031001,clean,True,True
A10000_00019,5,EXACT,1,42089300502,0.0,100,42089300502,42089300502,clean,True,True
A10000_00020,5,EXACT,1,06111002800,0.0,100,06111002800,06111002800,clean,True,True
A10000_00021,5,EXACT,1,25005640901,0.0,100,25005640901,25005640901,clean,True,True
A10000_00022,5,EXACT,1,17167003801,0.0,100,17167003801,17167003801,clean,True,True
A10000_00023,5,EXACT,1,17055040900,0.0,100,17055040900,17055040900,clean,True,True
A10000_00024,5,EXACT,1,54049020700,0.0,100,54049020700,54049020700,clean,True,True
A10000_00025,5,EXACT,1,36081021200,0.0,100,36081021200,36081021200,clean,True,True
A10000_00026,5,EXACT,1,35001940500,0.0,100,35001940500,35001940500,clean,True,True
A10000_00027,5,EXACT,1,04013615300,0.0,100,04013615300,04013615300,clean,True,True
A10000_00028,5,EXACT,1,47163043201,0.0,100,47163043201,47163043201,clean,True,True
A10000_00029,5,EXACT,1,06037620601,0.0,100,06037620601,06037620601,clean,True,True
A10000_00030,5,EXACT,1,12101030404,0.0,100,12101030404,12101030404,clean,True,True
A10000_00031,5,EXACT,1,53053072503,0.0,100,53053072503,53053072503,clean,True,True
A10000_00032,5,EXACT,1,13267950201,0.0,100,13267950201,13267950201,clean,True,True
A10000_00033,5,EXACT,1,48221160302,0.0,100,48221160302,48221160302,clean,True,True
A10000_00034,5,EXACT,1,29510107400,0.0,100,29510107400,29510107400,clean,True,True
A10000_00035,5,EXACT,1,42071001400,0.0,100,42071001400,42071001400,clean,True,True
A10000_00036,5,EXACT,1,25027739200,0.0,100,25027739200,25027739200,clean,True,True
A10000_00037,5,EXACT,1,26163525400,0.0,100,26163525400,26163525400,clean,True,True
A10000_00038,5,EXACT,1,51089010400,0.0,100,51089010400,51089010400,clean,True,True
A10000_00039,5,EXACT,1,48113001703,0.0,100,48113001703,48113001703,clean,True,True
A10000_00040,5,EXACT,1,29097010900,0.0,100,29097010900,29097010900,clean,True,True
A10000_00041,5,EXACT,1,06071008200,0.0,100,06071008200,06071008200,clean,True,True
A10000_00042,5,EXACT,1,06055202000,0.0,100,06055202000,06055202000,clean,True,True
A10000_00043,5,EXACT,1,13151070205,0.0,100,13151070205,13151070205,clean,True,True
A10000_00044,5,EXACT,1,36005024700,0.0,100,36005024700,36005024700,clean,True,True
A10000_00045,5,EXACT,1,06065040603,0.0,100,06065040603,06065040603,clean,True,True
A10000_00046,5,EXACT,1,45075011400,0.0,100,45075011400,45075011400,clean,True,True
A10000_00047,5,EXACT,1,06007000104,0.0,100,06007000104,06007000104,clean,True,True
A10000_00048,5,EXACT,1,22033004009,0.0,100,22033004009,22033004009,clean,True,True
A10000_00049,5,EXACT,1,25027747101,0.0,100,25027747101,25027747101,clean,True,True
A10000_00050,5,EXACT,1,19013001100,0.0,100,19013001100,19013001100,clean,True,True
A10000_00051,5,EXACT,1,39037570102,0.0,100,39037570102,39037570102,clean,True,True
A10000_00052,5,EXACT,1,12031012602,0.0,100,12031012602,12031012602,clean,True,True
A10000_00053,5,EXACT,1,34003031300,0.0,100,34003031300,34003031300,clean,True,True
A10000_00054,5,EXACT,1,15003000301,0.0,100,15003000301,15003000301,clean,True,True
A10000_00055,5,EXACT,1,55101001801,0.0,100,55101001801,55101001801,clean,True,True
A10000_00056,5,EXACT,1,34005704500,0.0,100,34005704500,34005704500,clean,True,True
A10000_00057,5,EXACT,1,24031701415,0.0,100,24031701415,24031701415,clean,True,True
A10000_00058,5,EXACT,1,34023008001,0.0,100,34023008001,34023008001,clean,True,True
A10000_00059,5,EXACT,1,12095018200,0.0,100,12095018200,12095018200,clean,True,True
A10000_00060,5,EXACT,1,39153532600,0.0,100,39153532600,39153532600,clean,True,True
A10000_00061,5,EXACT,1,06065041411,0.0,100,06065041411,06065041411,clean,True,True
A10000_00062,5,EXACT,1,12057012401,0.0,100,12057012401,12057012401,clean,True,True
A10000_00063,5,EXACT,1,42101016000,0.0,100,42101016000,42101016000,clean,True,True
A10000_00064,5,EXACT,1,18097322500,0.0,100,18097322500,18097322500,clean,True,True
A10000_00065,5,EXACT,1,12103025900,0.0,100,12103025900,12103025900,clean,True,True
A10000_00066,5,EXACT,1,13245010710,0.0,100,13245010710,13245010710,clean,True,True
A10000_00067,5,EXACT,1,48381020300,0.0,100,48381020300,48381020300,clean,True,True
A10000_00068,5,EXACT,1,27053023400,0.0,100,27053023400,27053023400,clean,True,True
A10000_00069,5,EXACT,1,29095015200,0.0,100,29095015200,29095015200,clean,True,True
A10000_00070,5,EXACT,1,26121002200,0.0,100,26121002200,26121002200,clean,True,True
A10000_00071,5,EXACT,1,50023955600,0.0,100,50023955600,50023955600,clean,True,True
A10000_00072,5,EXACT,1,17043846603,0.0,100,17043846603,17043846603,clean,True,True
A10000_00073,5,EXACT,1,06071010023,0.0,100,06071010023,06071010023,clean,True,True
A10000_00074,5,EXACT,1,01073005903,0.0,100,01073005903,01073005903,clean,True,True
A10000_00075,5,EXACT,1,48209010302,0.0,100,48209010302,48209010302,clean,True,True
A10000_00076,5,EXACT,1,49005001402,0.0,100,49005001402,49005001402,clean,True,True
A10000_00077,5,EXACT,1,06081609202,0.0,100,06081609202,06081609202,clean,True,True
A10000_00078,5,EXACT,1,17031827700,0.0,100,17031827700,17031827700,clean,True,True
A10000_00079,5,EXACT,1,51059480203,0.0,100,51059480203,51059480203,clean,True,True
A10000_00080,5,EXACT,1,17043844201,0.0,100,17043844201,17043844201,clean,True,True
A10000_00081,5,EXACT,1,12011040801,0.0,100,12011040801,12011040801,clean,True,True
A10000_00082,5,EXACT,1,17119403702,0.0,100,17119403702,17119403702,clean,True,True
A10000_00083,5,EXACT,1,53033025001,0.0,100,53033025001,53033025001,clean,True,True
A10000_00084,5,EXACT,1,24001001000,0.0,100,24001001000,24001001000,clean,True,True
A10000_00085,5,EXACT,1,17135957500,0.0,100,17135957500,17135957500,clean,True,True
A10000_00086,5,EXACT,1,26087333000,0.0,100,26087333000,26087333000,clean,True,True
A10000_00087,5,EXACT,1,42063961000,0.0,100,42063961000,42063961000,clean,True,True
A10000_00088,5,EXACT,1,54079020604,0.0,100,54079020604,54079020604,clean,True,True
A10000_00089,5,EXACT,1,26025001600,0.0,100,26025001600,26025001600,clean,True,True
