participant_id,scenario,pct_poverty,pct_unemployment,median_rent,pct_vacant_housing,median_income
A10000_00001,clean,4.6,6.7,1815.0,5.3,81750.0
A10000_00002,clean,3.5,4.6,1375.0,1.5,104402.0
A10000_00003,clean,3.6,5.6,1049.0,8.8,96912.0
A10000_00004,clean,4.5,2.8,1348.0,3.9,87330.0
A10000_00005,clean,10.4,7.9,757.0,7.5,45598.0
A10000_00006,clean,26.5,13.8,596.0,7.7,37420.0
A10000_00007,clean,46.9,15.5,545.0,11.1,22839.0
A10000_00008,clean,24.1,8.2,734.0,6.7,33320.0
A10000_00009,clean,36.4,32.2,652.0,17.0,25343.0
A10000_00010,clean,21.4,11.4,1204.0,5.0,45455.0
A10000_00011,clean,12.2,10.9,1205.0,4.0,59309.0
A10000_00012,clean,34.4,14.6,514.0,19.3,23085.0
A10000_00013,clean,8.1,8.6,908.0,8.2,64244.0
A10000_00014,clean,5.3,4.4,1327.0,1.4,90054.0
A10000_00015,clean,15.3,7.9,659.0,21.0,41615.0
A10000_00016,clean,15.1,4.5,959.0,7.6,53125.0
A10000_00017,clean,6.6,5.0,973.0,8.5,63466.0
A10000_00018,clean,15.1,3.9,914.0,3.4,61645.0
A10000_00019,clean,8.4,12.2,895.0,21.2,72122.0
A10000_00020,clean,16.0,8.6,1131.0,0.3,57877.0
A10000_00021,clean,35.5,13.9,740.0,12.5,25247.0
A10000_00022,clean,16.8,10.8,767.0,7.2,59056.0
A10000_00023,clean,24.0,14.3,625.0,15.8,31910.0
A10000_00024,clean,24.1,7.0,715.0,17.8,45093.0
A10000_00025,clean,24.7,12.5,1143.0,10.6,31576.0
A10000_00026,clean,4.7,5.2,1110.0,4.6,94958.0
A10000_00027,clean,13.8,4.0,900.0,26.2,48542.0
A10000_00028,clean,5.4,1.0,1213.0,5.0,59068.0
A10000_00029,clean,11.7,12.9,1515.0,2.9,91442.0
A10000_00030,clean,13.9,8.0,571.0,20.3,55625.0
A10000_00031,clean,7.0,11.2,1118.0,5.2,75953.0
A10000_00032,clean,32.5,9.9,614.0,17.8,28378.0
A10000_00033,clean,14.1,8.7,901.0,12.7,53347.0
A10000_00034,clean,41.7,34.9,823.0,33.6,27594.0
A10000_00035,clean,34.3,19.0,793.0,17.9,28675.0
A10000_00036,clean,4.6,4.3,1022.0,7.1,74430.0
A10000_00037,clean,39.5,22.9,535.0,24.7,22139.0
A10000_00038,clean,12.9,11.1,536.0,20.6,42158.0
A10000_00039,clean,6.9,1.7,1427.0,11.1,107731.0
A10000_00040,clean,11.2,9.0,715.0,9.2,48320.0
A10000_00041,clean,9.7,5.5,1037.0,3.7,58095.0
A10000_00042,clean,14.8,2.3,1141.0,14.9,52131.0
A10000_00043,clean,21.1,9.4,971.0,9.5,57765.0
A10000_00044,clean,25.4,12.9,1181.0,1.3,41271.0
A10000_00045,clean,10.9,13.8,1064.0,8.7,57530.0
A10000_00046,clean,32.7,12.2,704.0,18.2,30353.0
A10000_00047,clean,16.8,12.6,883.0,1.8,38207.0
A10000_00048,clean,7.6,3.4,964.0,14.9,66346.0
A10000_00049,clean,3.8,7.2,960.0,4.3,72951.0
A10000_00050,clean,16.0,2.9,681.0,1.4,51723.0
A10000_00051,clean,11.4,9.3,621.0,7.3,48235.0
A10000_00052,clean,19.6,18.5,909.0,17.1,36681.0
A10000_00053,clean,8.0,6.8,1241.0,11.9,70313.0
A10000_00054,clean,1.9,3.3,1779.0,8.9,113060.0
A10000_00055,clean,8.6,9.4,768.0,4.0,59821.0
A10000_00056,clean,7.9,11.5,923.0,9.7,60980.0
A10000_00057,clean,5.4,6.1,1234.0,1.6,98720.0
A10000_00058,clean,5.4,7.0,1369.0,3.7,74800.0
A10000_00059,clean,14.6,8.1,1256.0,13.5,58847.0
A10000_00060,clean,2.5,5.8,950.0,7.5,83304.0
A10000_00061,clean,28.1,11.9,1397.0,2.0,40119.0
A10000_00062,clean,35.1,5.0,805.0,8.4,41563.0
A10000_00063,clean,17.1,16.8,1056.0,16.9,45265.0
A10000_00064,clean,40.1,22.6,751.0,27.2,27176.0
A10000_00065,clean,35.8,17.5,772.0,34.3,23343.0
A10000_00066,clean,37.6,16.4,735.0,12.2,27619.0
A10000_00067,clean,16.1,2.9,702.0,13.7,39097.0
A10000_00068,clean,23.7,10.3,1136.0,2.9,44308.0
A10000_00069,clean,18.7,8.4,844.0,11.6,42500.0
A10000_00070,clean,13.0,12.0,685.0,4.5,39345.0
A10000_00071,clean,8.2,0.9,688.0,69.7,62961.0
A10000_00072,clean,17.8,6.5,911.0,6.1,40000.0
A10000_00073,clean,14.7,13.3,1165.0,9.5,62336.0
A10000_00074,clean,19.1,3.1,777.0,10.7,43783.0
A10000_00075,clean,29.2,6.9,811.0,14.4,34010.0
A10000_00076,clean,9.5,5.3,733.0,8.6,59432.0
A10000_00077,clean,11.1,8.0,1546.0,0.0,71716.0
A10000_00078,clean,33.9,24.2,1273.0,23.8,36818.0
A10000_00079,clean,7.2,18.1,2001.0,9.5,83125.0
A10000_00080,clean,8.0,6.8,969.0,3.8,70575.0
A10000_00081,clean,41.1,25.0,1201.0,22.8,31637.0
A10000_00082,clean,1.6,7.8,729.0,12.0,86964.0
A10000_00083,clean,2.0,4.9,1362.0,2.0,103241.0
A10000_00084,clean,15.2,12.1,439.0,15.0,25120.0
A10000_00085,clean,18.5,8.3,580.0,16.8,46793.0
A10000_00086,clean,9.4,13.9,1125.0,7.5,54946.0
A10000_00087,clean,32.0,9.1,764.0,12.0,34722.0
A10000_00088,clean,16.7,5.2,847.0,8.3,78005.0
A10000_00089,clean,10.1,4.6,1236.0,9.2,47058.0
A10000_00090,clean,43.9,21.5,694.0,14.2,20369.0
A10000_00091,clean,13.2,3.6,459.0,15.2,41632.0
A10000_00092,clean,4.1,10.6,1623.0,5.5,92819.0
A10000_00093,clean,39.5,5.5,473.0,10.1,18467.0
A10000_00094,clean,12.4,10.8,979.0,5.8,53460.0
A10000_00095,clean,5.6,3.2,507.0,5.4,53405.0
A10000_00096,clean,14.9,3.5,1013.0,14.8,63358.0
A10000_00097,clean,8.6,7.6,972.0,14.7,60859.0
A10000_00098,clean,33.3,18.4,455.0,13.2,19853.0
A10000_00099,clean,8.4,7.0,756.0,8.1,61649.0
A10000_00100,clean,1.1,2.1,2001.0,0.0,91625.0
A10000_00101,clean,9.8,8.6,1396.0,2.9,66172.0
A10000_00102,clean,1.5,6.8,2001.0,4.0,118092.0
A10000_00103,clean,25.9,6.2,1192.0,6.0,58802.0
A10000_00104,clean,35.0,11.2,768.0,5.8,28067.0
A10000_00105,clean,3.1,2.5,2001.0,13.6,124479.0
A10000_00106,clean,6.0,7.5,783.0,35.6,66917.0
A10000_00107,clean,5.4,7.9,1203.0,12.7,102352.0
A10000_00108,clean,6.8,4.3,768.0,7.5,67105.0
A10000_00109,clean,5.6,5.7,1161.0,21.9,44986.0
A10000_00110,clean,6.0,3.5,1032.0,7.6,87832.0
A10000_00111,clean,7.3,10.1,693.0,16.7,53365.0
A10000_00112,clean,10.2,6.2,720.0,3.8,75875.0
A10000_00113,clean,3.3,9.2,1290.0,3.5,89487.0
A10000_00114,clean,24.6,4.1,2001.0,4.2,69063.0
A10000_00115,clean,22.6,1.1,2001.0,35.6,131667.0
A10000_00116,clean,4.7,9.8,747.0,0.6,92743.0
A10000_00117,clean,71.0,28.1,430.0,18.4,11473.0
A10000_00118,clean,9.4,9.7,1312.0,15.1,70718.0
A10000_00119,clean,37.3,16.6,567.0,16.9,38493.0
A10000_00120,clean,47.5,6.8,747.0,8.1,20708.0
A10000_00121,clean,22.5,9.3,648.0,10.0,32072.0
A10000_00122,clean,14.0,5.7,742.0,13.5,37750.0
A10000_00123,clean,4.6,6.0,1099.0,11.7,87969.0
A10000_00124,clean,10.3,14.8,874.0,5.5,59545.0
A10000_00125,clean,5.2,9.6,1824.0,8.6,63194.0
A10000_00126,clean,20.4,6.3,246.0,27.4,34833.0
A10000_00127,clean,37.4,17.7,932.0,29.0,31370.0
A10000_00128,clean,35.3,34.4,674.0,45.8,24491.0
A10000_00129,clean,15.9,12.4,590.0,23.3,46250.0
A10000_00130,clean,8.0,5.8,1046.0,3.4,56090.0
A10000_00131,clean,3.0,7.0,1031.0,0.0,70448.0
A10000_00132,clean,8.3,7.3,594.0,3.1,66406.0
A10000_00133,clean,15.1,7.7,852.0,0.0,44167.0
A10000_00134,clean,31.0,10.0,694.0,8.9,70240.0
A10000_00135,clean,3.6,5.1,899.0,3.7,92736.0
A10000_00136,clean,4.5,4.9,1791.0,8.2,82578.0
A10000_00137,clean,22.3,3.9,625.0,7.1,42379.0
A10000_00138,clean,7.9,5.9,1195.0,0.9,73472.0
A10000_00139,clean,16.9,6.9,739.0,24.9,36427.0
A10000_00140,clean,28.6,13.0,779.0,14.8,38700.0
A10000_00141,clean,24.1,13.1,541.0,17.9,39397.0
A10000_00142,clean,9.3,11.1,943.0,30.6,56746.0
A10000_00143,clean,6.4,3.1,1485.0,6.8,87423.0
A10000_00144,clean,6.6,4.3,613.0,12.7,48740.0
A10000_00145,clean,17.8,13.8,683.0,9.7,29279.0
A10000_00146,clean,8.5,8.2,906.0,25.6,50101.0
A10000_00147,clean,8.3,10.5,1058.0,4.5,56722.0
A10000_00148,clean,2.3,6.2,1305.0,6.0,86382.0
A10000_00149,clean,7.8,3.9,1517.0,8.5,71846.0
A10000_00150,clean,19.0,13.7,531.0,15.1,40469.0
A10000_00151,clean,17.1,13.4,630.0,19.1,53833.0
