participant_id,scenario,pct_poverty,pct_unemployment,median_rent,pct_vacant_housing,median_income
A20_00001,clean,4.7,6.5,1390.0,4.0,89359.0
A20_00002,clean,6.2,6.7,651.0,5.0,61196.0
A20_00003,clean,24.4,7.8,769.0,5.7,39917.0
A20_00004,clean,26.7,23.9,854.0,16.2,41312.0
A20_00005,clean,30.5,8.9,1033.0,12.4,35339.0
A20_00006,clean,26.5,9.1,276.0,17.9,25089.0
A20_00007,clean,29.3,13.2,794.0,5.0,36618.0
A20_00008,clean,15.7,9.5,1119.0,3.6,77610.0
A20_00009,clean,5.7,8.5,1442.0,3.0,67530.0
A20_00010,clean,12.8,10.9,971.0,12.4,49676.0
A20_00011,duplicate_group,3.6,8.1,2001.0,21.0,67986.0
A20_00012,duplicate_group,2.3,3.4,2001.0,6.7,250001.0
A20_00013,duplicate_group,2.7,3.6,2001.0,11.3,100018.0
A20_00014,perturbed_pm2,0.1,4.8,1056.0,2.9,83110.0
A20_00015,perturbed_pm2,16.6,6.0,734.0,17.0,32372.0
A20_00016,perturbed_pm2,12.5,12.5,668.0,6.1,57523.0
A20_00017,missing_one,6.6,4.9,,5.4,71908.0
A20_00018,missing_one,34.3,,514.0,15.1,30551.0
A20_00019,missing_three,,,,24.7,36827.0
A20_00020,missing_all,,,,,
