participant_id,true_tract_geoid,scenario
A10000_00001,42003421100,clean
A10000_00002,08001008541,clean
A10000_00003,42029300201,clean
A10000_00004,06067002300,clean
A10000_00005,55089630100,clean
A10000_00006,37109070600,clean
A10000_00007,36005013500,clean
A10000_00008,35001000115,clean
A10000_00009,17091011000,clean
A10000_00010,36047045400,clean
A10000_00011,24033803610,clean
A10000_00012,42111021100,clean
A10000_00013,37067003703,clean
A10000_00014,24013513001,clean
A10000_00015,39123050500,clean
A10000_00016,40143007414,clean
A10000_00017,55133201403,clean
A10000_00018,05045031001,clean
A10000_00019,42089300502,clean
A10000_00020,06111002800,clean
A10000_00021,25005640901,clean
A10000_00022,17167003801,clean
A10000_00023,17055040900,clean
A10000_00024,54049020700,clean
A10000_00025,36081021200,clean
A10000_00026,35001940500,clean
A10000_00027,04013615300,clean
A10000_00028,47163043201,clean
A10000_00029,06037620601,clean
A10000_00030,12101030404,clean
A10000_00031,53053072503,clean
A10000_00032,13267950201,clean
A10000_00033,48221160302,clean
A10000_00034,29510107400,clean
A10000_00035,42071001400,clean
A10000_00036,25027739200,clean
A10000_00037,26163525400,clean
A10000_00038,51089010400,clean
A10000_00039,48113001703,clean
A10000_00040,29097010900,clean
A10000_00041,06071008200,clean
A10000_00042,06055202000,clean
A10000_00043,13151070205,clean
A10000_00044,36005024700,clean
A10000_00045,06065040603,clean
A10000_00046,45075011400,clean
A10000_00047,06007000104,clean
A10000_00048,22033004009,clean
A10000_00049,25027747101,clean
A10000_00050,19013001100,clean
A10000_00051,39037570102,clean
A10000_00052,12031012602,clean
A10000_00053,34003031300,clean
A10000_00054,15003000301,clean
A10000_00055,55101001801,clean
A10000_00056,34005704500,clean
A10000_00057,24031701415,clean
A10000_00058,34023008001,clean
A10000_00059,12095018200,clean
A10000_00060,39153532600,clean
A10000_00061,06065041411,clean
A10000_00062,12057012401,clean
A10000_00063,42101016000,clean
A10000_00064,18097322500,clean
A10000_00065,12103025900,clean
A10000_00066,13245010710,clean
A10000_00067,48381020300,clean
A10000_00068,27053023400,clean
A10000_00069,29095015200,clean
A10000_00070,26121002200,clean
A10000_00071,50023955600,clean
A10000_00072,17043846603,clean
A10000_00073,06071010023,clean
A10000_00074,01073005903,clean
A10000_00075,48209010302,clean
A10000_00076,49005001402,clean
A10000_00077,06081609202,clean
A10000_00078,17031827700,clean
A10000_00079,51059480203,clean
A10000_00080,17043844201,clean
A10000_00081,12011040801,clean
A10000_00082,17119403702,clean
A10000_00083,53033025001,clean
A10000_00084,24001001000,clean
A10000_00085,17135957500,clean
A10000_00086,26087333000,clean
A10000_00087,42063961000,clean
A10000_00088,54079020604,clean
A10000_00089,26025001600,clean
A10000_00090,22033000500,clean
A10000_00091,20201978700,clean
A10000_00092,36119001700,clean
A10000_00093,31109002001,clean
A10000_00094,04019004110,clean
A10000_00095,36029012902,clean
A10000_00096,39129020320,clean
A10000_00097,32007950900,clean
A10000_00098,21051950100,clean
A10000_00099,18089040502,clean
A10000_00100,51153901417,clean
A10000_00101,36081009600,clean
A10000_00102,09009157200,clean
A10000_00103,48439123200,clean
A10000_00104,47157021732,clean
A10000_00105,06073008102,clean
A10000_00106,27067780100,clean
A10000_00107,13117130306,clean
A10000_00108,19049050600,clean
A10000_00109,12115002715,clean
A10000_00110,22089063100,clean
A10000_00111,42057960300,clean
A10000_00112,29047021404,clean
A10000_00113,34023002401,clean
A10000_00114,04013420402,clean
A10000_00115,49043964308,clean
A10000_00116,53063010202,clean
A10000_00117,12111380100,clean
A10000_00118,32003005824,clean
A10000_00119,04021000315,clean
A10000_00120,42037051100,clean
A10000_00121,39135455002,clean
A10000_00122,20037957200,clean
A10000_00123,08059012031,clean
A10000_00124,34005700403,clean
A10000_00125,06059062641,clean
A10000_00126,48101950100,clean
A10000_00127,42101013700,clean
A10000_00128,26163526500,clean
A10000_00129,47055920100,clean
A10000_00130,48201532400,clean
